Unnamed: 0,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,month,year,weekday_str,weekday,hour,trip_duration_sec,ttl_am_without_tips,ttl_am_raw,zcore_td,fixed_taxes
24870114,2,2017-03-25 08:55:43,2017-03-25 09:09:47,6,3.34,1,N,100,231,1,13.0,0.0,0.5,2.76,0.0,0.3,19.32,3,2017,Sat,5,8,844.0,16.56,13.8,-0.0467088638416024,0.8
35634249,1,2017-04-11 14:53:28,2017-04-11 15:19:58,1,1.8,1,N,186,43,1,16.0,0.0,0.5,4.0,0.0,0.3,24.8,4,2017,Tue,1,14,1590.0,20.8,16.8,0.1586289006528231,0.8
106203690,1,2017-12-15 07:26:56,2017-12-15 07:34:08,1,1.0,1,N,262,236,1,6.5,0.0,0.5,1.45,0.0,0.3,10.2,12,2017,Fri,4,7,432.0,8.75,7.3,-0.1601125621950921,0.8
38942136,2,2017-05-07 13:17:59,2017-05-07 13:48:14,1,3.7,1,N,188,97,1,20.5,0.0,0.5,6.39,0.0,0.3,34.08,5,2017,Sun,6,13,1815.0,27.69,21.3,0.22056053203519005,0.8
30841670,2,2017-04-15 23:32:20,2017-04-15 23:49:03,1,4.37,1,N,4,112,2,16.5,0.5,0.5,0.0,0.0,0.3,17.8,4,2017,Sat,5,23,1003.0,17.8,17.8,-0.002943844331396428,0.8
23345809,2,2017-03-25 20:34:11,2017-03-25 20:42:11,6,2.3,1,N,161,236,1,9.0,0.5,0.5,2.06,0.0,0.3,14.42,3,2017,Sat,5,20,480.0,12.36,10.3,-0.14690048083352047,0.8
37660487,2,2017-05-03 19:04:09,2017-05-03 20:03:47,1,12.83,1,N,79,241,1,47.5,1.0,0.5,9.86,0.0,0.3,69.02,5,2017,Wed,2,19,3578.0,59.16,49.3,0.7058292703779141,0.8
69059411,2,2017-08-15 17:41:06,2017-08-15 18:03:05,1,2.98,1,N,237,114,1,16.0,1.0,0.5,1.78,0.0,0.3,21.36,8,2017,Tue,1,17,1319.0,19.58,17.8,0.08403569129895003,0.8
8433159,2,2017-02-04 16:17:07,2017-02-04 16:29:14,1,1.2,1,N,234,249,2,9.0,0.0,0.5,0.0,0.0,0.3,9.8,2,2017,Sat,5,16,727.0,9.8,9.8,-0.07891331216043321,0.8
95294817,1,2017-11-10 15:20:29,2017-11-10 15:40:55,1,1.6,1,N,239,237,1,13.0,0.0,0.5,2.75,0.0,0.3,19.3,11,2017,Fri,4,15,1226.0,16.55,13.8,0.05843728366090503,0.8
18017909,2,2017-03-04 11:58:00,2017-03-04 12:13:12,1,1.77,1,N,162,142,1,11.5,0.0,0.5,2.46,0.0,0.3,17.22,3,2017,Sat,5,11,912.0,14.76,12.3,-0.027991748579375947,0.8
18600059,2,2017-03-05 19:15:30,2017-03-05 19:52:18,2,18.9,2,N,236,132,1,52.0,0.0,0.5,14.58,5.54,0.3,87.5,3,2017,Sun,6,19,2208.0,72.92,52.8,0.32873444818305764,0.8
46782248,1,2017-06-09 19:00:26,2017-06-09 19:20:11,1,3.0,1,N,13,148,1,15.0,1.0,0.5,3.35,0.0,0.3,23.5,6,2017,Fri,4,19,1185.0,20.15,16.8,0.04715196416456261,0.8
94113247,2,2017-11-06 23:35:05,2017-11-06 23:42:57,1,2.39,1,N,209,25,1,9.5,0.5,0.5,2.16,0.0,0.3,15.12,11,2017,Mon,0,23,472.0,12.96,10.8,-0.1491024943937824,0.8
14168279,1,2017-02-22 15:18:31,2017-02-22 15:42:50,1,3.3,1,N,238,161,1,17.5,0.0,0.5,4.55,0.0,0.3,27.4,2,2017,Wed,2,15,1459.0,22.85,18.3,0.1225709286035339,0.8
47444401,2,2017-06-02 06:41:39,2017-06-02 06:57:47,1,5.93,1,N,239,231,1,19.0,0.0,0.5,3.0,0.0,0.3,25.8,6,2017,Fri,4,6,968.0,22.8,19.8,-0.012577653657542397,0.8
